Bias Category,Bias Type,Business as victim,Case Type,Location Type,Open Data Case Number,Primary Offense Type,Report Month/Year,Suspect Age,Suspect Gender,Suspect Race,Victim Age,Victim Gender,Victim Race,Victim Suspect Relationship
,,,BIAS UNFOUNDED,,6e+2016e+10,,January 2016,,,,,,,
,,,BIAS UNFOUNDED,,10717107779,,April 2017,,,,,,,
,,,BIAS UNFOUNDED,,10918109015,,April 2018,,,,,,,
,,,BIAS UNFOUNDED,,11102011167,,January 2020,,,,,,,
,,,BIAS UNFOUNDED,,11319113015,,April 2019,,,,,,,
,,,BIAS UNFOUNDED,,11401611466,,January 2016,,,,,,,
,,,BIAS UNFOUNDED,,11815118547,,April 2015,,,,,,,
,,,BIAS UNFOUNDED,,11817118756,,April 2017,,,,,,,
,,,BIAS UNFOUNDED,,12017120510,,April 2017,,,,,,,
,,,BIAS UNFOUNDED,,12519125777,,April 2019,,,,,,,
,,,BIAS UNFOUNDED,,12601912695,,January 2019,,,,,,,
,,,BIAS UNFOUNDED,,12619126485,,April 2019,,,,,,,
,,,BIAS UNFOUNDED,,12719127960,,April 2019,,,,,,,
,,,BIAS UNFOUNDED,,13817138958,,May 2017,,,,,,,
,,,BIAS UNFOUNDED,,14117141110,,May 2017,,,,,,,
,,,BIAS UNFOUNDED,,14118141120,,April 2018,,,,,,,
,,,BIAS UNFOUNDED,,14217142454,,May 2017,,,,,,,
,,,BIAS UNFOUNDED,,14419144289,,May 2019,,,,,,,
,,,BIAS UNFOUNDED,,14917149030,,May 2017,,,,,,,
,,,BIAS UNFOUNDED,,14919149038,,May 2019,,,,,,,
,,,BIAS UNFOUNDED,,15217152540,,May 2017,,,,,,,
,,,BIAS UNFOUNDED,,15717157872,,May 2017,,,,,,,
,,,BIAS UNFOUNDED,,15901615958,,January 2016,,,,,,,
,,,BIAS UNFOUNDED,,16017160273,,May 2017,,,,,,,
,,,BIAS UNFOUNDED,,16119161551,,May 2019,,,,,,,
,,,BIAS UNFOUNDED,,16219162996,,May 2019,,,,,,,
,,,BIAS UNFOUNDED,,16319163965,,May 2019,,,,,,,
,,,BIAS UNFOUNDED,,16517165581,,May 2017,,,,,,,
,,,BIAS UNFOUNDED,,17017170511,,June 2017,,,,,,,
,,,BIAS UNFOUNDED,,17717177901,,June 2017,,,,,,,
,,,BIAS UNFOUNDED,,17718177906,,May 2018,,,,,,,
,,,BIAS UNFOUNDED,,17915179955,,May 2015,,,,,,,
