OBJECTID_1,OBJECTID,AGENCY,DISTRICT,PRECINCT,Shape_Length,Shape_Area
1,99,PORT,510,NO,52144.4332987578,52898501.3551154
2,100,PORT,520,NO,33936.3459787297,54464423.3841202
3,101,PORT,530,NO,15635.2966163386,13265821.1225084
4,102,PORT,540,NO,26561.5881347479,32660723.093553
5,103,PORT,550,NO,13099.433724314,9463470.5697772
6,104,PORT,560,NO,11419.2325772963,7667296.77214035
7,105,PORT,570,NO,20488.4073507642,18435638.4648332
8,106,PORT,580,NO,8411.57390608268,4340722.64568842
9,107,PORT,590,NO,10952.0881223205,5856431.26503924
10,108,PORT,610,NO,30172.0122051526,21275607.2087188
11,109,PORT,620,NO,10903.2398832476,5836373.1602965
12,110,PORT,630,NO,8375.71734782104,3109140.80212525
13,111,PORT,641,NO,15635.5436428347,10827461.9401158
14,112,PORT,642,NO,42962.5916110674,30467339.4982003
15,113,PORT,651,NO,21854.4469867972,16322215.5524727
16,114,PORT,652,NO,31507.3742513194,44057919.8336447
17,115,PORT,660,NO,21200.8652664236,13572589.4566344
18,116,PORT,670,NO,11715.2923689199,5644783.14064761
19,117,PORT,680,NO,14529.6221853635,8109835.23090698
20,118,PORT,690,NO,7815.45093673364,3034864.01380689
21,119,PORT,711,CE,8861.75786978018,3822837.46107533
22,120,PORT,712,CE,9760.60479274621,4526227.03490406
23,121,PORT,720,CE,11478.0837989478,5874079.38010158
24,122,PORT,730,CE,14949.9487093506,10439606.0164298
25,123,PORT,741,CE,18408.543047209,15024405.4831024
26,124,PORT,742,CE,18388.6352470157,15587856.0571577
27,125,PORT,800,CE,67398.9707341792,45668589.387037
28,126,PORT,810,CE,9330.97804588852,4683952.40518268
29,127,PORT,821,CE,6370.28211215924,1980166.77188335
30,128,PORT,822,CE,4325.47847188969,1083752.26299798
31,129,PORT,830,CE,4803.39257163066,1408248.82367095
32,130,PORT,841,CE,5079.71837942128,1176537.88538105
33,131,PORT,842,CE,5063.3720067646,1297840.87949972
34,132,PORT,850,CE,7590.04710232468,3189329.81299195
35,133,PORT,860,CE,40556.9965764587,18289185.92109
36,134,PORT,871,CE,17924.1599526739,14678004.4996256
37,135,PORT,872,CE,18441.1577465859,6258823.65583151
38,136,PORT,881,CE,30376.4211949585,21514035.8139542
39,137,PORT,882,CE,31323.549123171,20684580.7155197
40,138,PORT,890,CE,36924.9924786432,29998512.3365839
41,139,PORT,901,EA,16384.5196566604,10197167.8480059
42,140,PORT,902,EA,14494.9503832539,10353420.5168834
43,141,PORT,911,EA,10087.0245599478,6132772.16728741
44,142,PORT,912,EA,9276.9328090994,5514507.29405778
45,143,PORT,921,EA,16036.0748311509,11207571.8239298
46,144,PORT,922,EA,8677.28520812338,4398655.47718724
47,145,PORT,923,EA,13533.4685865119,6608064.20122605
48,146,PORT,931,EA,14189.5660946529,8688773.36393905
49,147,PORT,932,EA,12250.3495680973,6532908.37484308
50,148,PORT,941,EA,14006.2627445356,11392068.1573204
51,149,PORT,942,EA,17110.9806228296,15470171.4037157
52,150,PORT,951,EA,12004.5503974279,9041838.69197522
53,151,PORT,952,EA,11832.8319051516,8725876.87007339
54,152,PORT,961,EA,12750.5686629698,7685491.33435503
55,153,PORT,962,EA,20852.7272477687,13324004.6232625
56,154,PORT,971,EA,11455.8225119294,7856289.53018808
57,155,PORT,972,EA,10220.0279356484,6251257.89870502
58,156,PORT,981,EA,9102.50682180712,4499647.10427637
59,157,PORT,982,EA,26959.0048014485,12905884.1022451
60,158,PORT,990,EA,36529.6043826388,24498235.0291857
